"행정구역","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~9세","2017년_거주자_10~19세","2017년_거주자_20~29세","2017년_거주자_30~39세","2017년_거주자_40~49세","2017년_거주자_50~59세","2017년_거주자_60~69세","2017년_거주자_70~79세","2017년_거주자_80~89세","2017년_거주자_90~99세","2017년_거주자_100세 이상","2017년_남_거주자_총인구수","2017년_남_거주자_연령구간인구수","2017년_남_거주자_0~9세","2017년_남_거주자_10~19세","2017년_남_거주자_20~29세","2017년_남_거주자_30~39세","2017년_남_거주자_40~49세","2017년_남_거주자_50~59세","2017년_남_거주자_60~69세","2017년_남_거주자_70~79세","2017년_남_거주자_80~89세","2017년_남_거주자_90~99세","2017년_남_거주자_100세 이상","2017년_여_거주자_총인구수","2017년_여_거주자_연령구간인구수","2017년_여_거주자_0~9세","2017년_여_거주자_10~19세","2017년_여_거주자_20~29세","2017년_여_거주자_30~39세","2017년_여_거주자_40~49세","2017년_여_거주자_50~59세","2017년_여_거주자_60~69세","2017년_여_거주자_70~79세","2017년_여_거주자_80~89세","2017년_여_거주자_90~99세","2017년_여_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~9세","2018년_거주자_10~19세","2018년_거주자_20~29세","2018년_거주자_30~39세","2018년_거주자_40~49세","2018년_거주자_50~59세","2018년_거주자_60~69세","2018년_거주자_70~79세","2018년_거주자_80~89세","2018년_거주자_90~99세","2018년_거주자_100세 이상","2018년_남_거주자_총인구수","2018년_남_거주자_연령구간인구수","2018년_남_거주자_0~9세","2018년_남_거주자_10~19세","2018년_남_거주자_20~29세","2018년_남_거주자_30~39세","2018년_남_거주자_40~49세","2018년_남_거주자_50~59세","2018년_남_거주자_60~69세","2018년_남_거주자_70~79세","2018년_남_거주자_80~89세","2018년_남_거주자_90~99세","2018년_남_거주자_100세 이상","2018년_여_거주자_총인구수","2018년_여_거주자_연령구간인구수","2018년_여_거주자_0~9세","2018년_여_거주자_10~19세","2018년_여_거주자_20~29세","2018년_여_거주자_30~39세","2018년_여_거주자_40~49세","2018년_여_거주자_50~59세","2018년_여_거주자_60~69세","2018년_여_거주자_70~79세","2018년_여_거주자_80~89세","2018년_여_거주자_90~99세","2018년_여_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~9세","2019년_거주자_10~19세","2019년_거주자_20~29세","2019년_거주자_30~39세","2019년_거주자_40~49세","2019년_거주자_50~59세","2019년_거주자_60~69세","2019년_거주자_70~79세","2019년_거주자_80~89세","2019년_거주자_90~99세","2019년_거주자_100세 이상","2019년_남_거주자_총인구수","2019년_남_거주자_연령구간인구수","2019년_남_거주자_0~9세","2019년_남_거주자_10~19세","2019년_남_거주자_20~29세","2019년_남_거주자_30~39세","2019년_남_거주자_40~49세","2019년_남_거주자_50~59세","2019년_남_거주자_60~69세","2019년_남_거주자_70~79세","2019년_남_거주자_80~89세","2019년_남_거주자_90~99세","2019년_남_거주자_100세 이상","2019년_여_거주자_총인구수","2019년_여_거주자_연령구간인구수","2019년_여_거주자_0~9세","2019년_여_거주자_10~19세","2019년_여_거주자_20~29세","2019년_여_거주자_30~39세","2019년_여_거주자_40~49세","2019년_여_거주자_50~59세","2019년_여_거주자_60~69세","2019년_여_거주자_70~79세","2019년_여_거주자_80~89세","2019년_여_거주자_90~99세","2019년_여_거주자_100세 이상","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~9세","2020년_거주자_10~19세","2020년_거주자_20~29세","2020년_거주자_30~39세","2020년_거주자_40~49세","2020년_거주자_50~59세","2020년_거주자_60~69세","2020년_거주자_70~79세","2020년_거주자_80~89세","2020년_거주자_90~99세","2020년_거주자_100세 이상","2020년_남_거주자_총인구수","2020년_남_거주자_연령구간인구수","2020년_남_거주자_0~9세","2020년_남_거주자_10~19세","2020년_남_거주자_20~29세","2020년_남_거주자_30~39세","2020년_남_거주자_40~49세","2020년_남_거주자_50~59세","2020년_남_거주자_60~69세","2020년_남_거주자_70~79세","2020년_남_거주자_80~89세","2020년_남_거주자_90~99세","2020년_남_거주자_100세 이상","2020년_여_거주자_총인구수","2020년_여_거주자_연령구간인구수","2020년_여_거주자_0~9세","2020년_여_거주자_10~19세","2020년_여_거주자_20~29세","2020년_여_거주자_30~39세","2020년_여_거주자_40~49세","2020년_여_거주자_50~59세","2020년_여_거주자_60~69세","2020년_여_거주자_70~79세","2020년_여_거주자_80~89세","2020년_여_거주자_90~99세","2020년_여_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~9세","2021년_거주자_10~19세","2021년_거주자_20~29세","2021년_거주자_30~39세","2021년_거주자_40~49세","2021년_거주자_50~59세","2021년_거주자_60~69세","2021년_거주자_70~79세","2021년_거주자_80~89세","2021년_거주자_90~99세","2021년_거주자_100세 이상","2021년_남_거주자_총인구수","2021년_남_거주자_연령구간인구수","2021년_남_거주자_0~9세","2021년_남_거주자_10~19세","2021년_남_거주자_20~29세","2021년_남_거주자_30~39세","2021년_남_거주자_40~49세","2021년_남_거주자_50~59세","2021년_남_거주자_60~69세","2021년_남_거주자_70~79세","2021년_남_거주자_80~89세","2021년_남_거주자_90~99세","2021년_남_거주자_100세 이상","2021년_여_거주자_총인구수","2021년_여_거주자_연령구간인구수","2021년_여_거주자_0~9세","2021년_여_거주자_10~19세","2021년_여_거주자_20~29세","2021년_여_거주자_30~39세","2021년_여_거주자_40~49세","2021년_여_거주자_50~59세","2021년_여_거주자_60~69세","2021년_여_거주자_70~79세","2021년_여_거주자_80~89세","2021년_여_거주자_90~99세","2021년_여_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~9세","2022년_거주자_10~19세","2022년_거주자_20~29세","2022년_거주자_30~39세","2022년_거주자_40~49세","2022년_거주자_50~59세","2022년_거주자_60~69세","2022년_거주자_70~79세","2022년_거주자_80~89세","2022년_거주자_90~99세","2022년_거주자_100세 이상","2022년_남_거주자_총인구수","2022년_남_거주자_연령구간인구수","2022년_남_거주자_0~9세","2022년_남_거주자_10~19세","2022년_남_거주자_20~29세","2022년_남_거주자_30~39세","2022년_남_거주자_40~49세","2022년_남_거주자_50~59세","2022년_남_거주자_60~69세","2022년_남_거주자_70~79세","2022년_남_거주자_80~89세","2022년_남_거주자_90~99세","2022년_남_거주자_100세 이상","2022년_여_거주자_총인구수","2022년_여_거주자_연령구간인구수","2022년_여_거주자_0~9세","2022년_여_거주자_10~19세","2022년_여_거주자_20~29세","2022년_여_거주자_30~39세","2022년_여_거주자_40~49세","2022년_여_거주자_50~59세","2022년_여_거주자_60~69세","2022년_여_거주자_70~79세","2022년_여_거주자_80~89세","2022년_여_거주자_90~99세","2022년_여_거주자_100세 이상"
"서울특별시 도봉구 (1132000000)","339,795","339,795","23,510","31,504","46,703","46,439","55,097","58,908","42,524","24,855","9,038","1,180","37","166,516","166,516","12,126","16,178","24,005","23,743","26,928","28,010","20,637","11,315","3,262","308","4","173,279","173,279","11,384","15,326","22,698","22,696","28,169","30,898","21,887","13,540","5,776","872","33","335,013","335,013","22,155","29,576","45,783","45,066","52,286","58,566","44,378","26,065","9,768","1,332","38","163,911","163,911","11,427","15,250","23,470","23,010","25,669","27,833","21,409","11,919","3,576","342","6","171,102","171,102","10,728","14,326","22,313","22,056","26,617","30,733","22,969","14,146","6,192","990","32","329,039","329,039","20,643","27,621","44,616","42,935","50,307","57,518","46,556","26,717","10,646","1,437","43","160,870","160,870","10,673","14,203","22,854","21,943","24,846","27,292","22,390","12,286","3,991","380","12","168,169","168,169","9,970","13,418","21,762","20,992","25,461","30,226","24,166","14,431","6,655","1,057","31","321,061","321,061","18,751","25,518","43,136","40,575","47,826","56,068","48,922","27,278","11,390","1,554","43","156,545","156,545","9,707","13,154","21,969","20,758","23,662","26,653","23,326","12,541","4,351","413","11","164,516","164,516","9,044","12,364","21,167","19,817","24,164","29,415","25,596","14,737","7,039","1,141","32","314,528","314,528","17,022","24,233","41,311","38,939","45,666","55,265","50,748","27,279","12,372","1,643","50","152,997","152,997","8,874","12,457","20,936","19,909","22,665","26,394","23,961","12,507","4,847","435","12","161,531","161,531","8,148","11,776","20,375","19,030","23,001","28,871","26,787","14,772","7,525","1,208","38","309,831","309,831","15,569","23,456","39,276","38,098","44,074","54,228","51,701","27,951","13,683","1,755","40","150,414","150,414","8,086","12,107","19,662","19,566","21,925","25,981","24,327","12,834","5,458","460","8","159,417","159,417","7,483","11,349","19,614","18,532","22,149","28,247","27,374","15,117","8,225","1,295","32"
"서울특별시 노원구 (1135000000)","548,557","548,557","41,191","63,791","76,301","74,039","97,283","88,301","58,798","33,681","13,358","1,772","42","266,590","266,590","21,130","33,188","39,616","36,789","46,456","42,659","27,687","14,275","4,399","387","4","281,967","281,967","20,061","30,603","36,685","37,250","50,827","45,642","31,111","19,406","8,959","1,385","38","537,978","537,978","38,105","60,256","75,949","70,764","92,537","88,136","61,278","34,808","14,183","1,924","38","261,045","261,045","19,598","31,371","39,326","35,109","44,176","42,592","28,787","14,919","4,737","426","4","276,933","276,933","18,507","28,885","36,623","35,655","48,361","45,544","32,491","19,889","9,446","1,498","34","527,045","527,045","35,727","56,662","74,170","66,699","88,857","87,567","63,937","36,030","15,266","2,090","40","255,079","255,079","18,387","29,495","38,322","33,170","42,352","42,307","29,878","15,498","5,172","492","6","271,966","271,966","17,340","27,167","35,848","33,529","46,505","45,260","34,059","20,532","10,094","1,598","34","517,425","517,425","33,148","53,068","72,803","64,166","85,266","86,553","66,751","37,026","16,220","2,364","60","249,740","249,740","17,024","27,540","37,368","31,978","40,588","41,926","31,063","15,990","5,670","585","8","267,685","267,685","16,124","25,528","35,435","32,188","44,678","44,627","35,688","21,036","10,550","1,779","52","507,124","507,124","30,627","50,174","69,655","62,717","81,045","86,019","69,961","37,036","17,299","2,518","73","244,164","244,164","15,807","26,038","35,599","31,237","38,598","41,527","32,500","16,133","6,104","612","9","262,960","262,960","14,820","24,136","34,056","31,480","42,447","44,492","37,461","20,903","11,195","1,906","64","501,406","501,406","28,283","49,001","67,705","61,639","78,037","85,706","71,313","38,227","18,755","2,666","74","241,014","241,014","14,568","25,409","34,521","30,748","37,182","41,342","33,121","16,729","6,734","648","12","260,392","260,392","13,715","23,592","33,184","30,891","40,855","44,364","38,192","21,498","12,021","2,018","62"
"서울특별시 은평구 (1138000000)","478,701","478,701","35,414","44,737","64,726","72,483","81,704","75,766","55,437","35,035","11,910","1,460","29","232,338","232,338","18,203","23,013","32,132","36,226","40,525","36,174","25,600","15,601","4,520","339","5","246,363","246,363","17,211","21,724","32,594","36,257","41,179","39,592","29,837","19,434","7,390","1,121","24","475,088","475,088","33,373","42,742","64,860","71,145","78,679","76,114","57,253","36,363","12,938","1,591","30","229,708","229,708","17,108","21,908","31,915","35,495","38,909","36,382","26,458","16,169","4,978","381","5","245,380","245,380","16,265","20,834","32,945","35,650","39,770","39,732","30,795","20,194","7,960","1,210","25","471,936","471,936","31,651","40,568","65,456","69,031","76,841","75,657","59,586","37,206","14,157","1,747","36","227,573","227,573","16,201","20,782","31,994","34,331","37,925","36,294","27,558","16,478","5,537","466","7","244,363","244,363","15,450","19,786","33,462","34,700","38,916","39,363","32,028","20,728","8,620","1,281","29","471,876","471,876","29,673","38,539","66,611","67,854","75,376","75,550","62,854","38,097","15,408","1,874","40","226,485","226,485","15,195","19,677","32,062","33,594","37,213","36,285","29,002","16,818","6,133","498","8","245,391","245,391","14,478","18,862","34,549","34,260","38,163","39,265","33,852","21,279","9,275","1,376","32","467,877","467,877","27,631","37,093","64,929","66,552","73,173","75,889","65,848","37,936","16,814","1,970","42","223,841","223,841","14,221","18,977","30,991","32,676","36,202","36,505","30,392","16,546","6,793","530","8","244,036","244,036","13,410","18,116","33,938","33,876","36,971","39,384","35,456","21,390","10,021","1,440","34","463,578","463,578","25,754","36,393","62,832","65,630","71,361","75,796","66,758","38,419","18,552","2,040","43","221,053","221,053","13,228","18,665","29,573","32,239","35,244","36,488","30,903","16,653","7,490","559","11","242,525","242,525","12,526","17,728","33,259","33,391","36,117","39,308","35,855","21,766","11,062","1,481","32"
"서울특별시 서대문구 (1141000000)","306,107","306,107","21,772","26,734","47,694","45,625","50,173","47,916","33,338","23,107","8,664","1,056","28","147,968","147,968","11,090","13,586","23,600","22,746","24,760","23,267","15,460","10,002","3,212","238","7","158,139","158,139","10,682","13,148","24,094","22,879","25,413","24,649","17,878","13,105","5,452","818","21","303,486","303,486","21,151","25,390","47,960","44,928","48,127","47,760","34,369","23,336","9,295","1,139","31","146,353","146,353","10,793","12,877","23,551","22,261","23,858","23,111","16,066","10,027","3,533","271","5","157,133","157,133","10,358","12,513","24,409","22,667","24,269","24,649","18,303","13,309","5,762","868","26","302,628","302,628","20,365","24,492","48,380","44,146","46,970","47,848","35,510","23,403","10,191","1,282","41","145,528","145,528","10,452","12,314","23,550","21,949","23,252","23,087","16,686","10,013","3,887","331","7","157,100","157,100","9,913","12,178","24,830","22,197","23,718","24,761","18,824","13,390","6,304","951","34","305,520","305,520","20,133","23,510","49,896","44,595","46,476","47,917","37,220","23,502","10,827","1,400","44","146,326","146,326","10,241","11,816","23,881","22,126","22,984","23,248","17,500","10,011","4,141","371","7","159,194","159,194","9,892","11,694","26,015","22,469","23,492","24,669","19,720","13,491","6,686","1,029","37","300,769","300,769","18,843","22,392","48,514","43,854","44,616","47,579","38,885","22,925","11,627","1,482","52","143,771","143,771","9,611","11,196","23,059","21,692","22,047","23,135","18,367","9,797","4,463","395","9","156,998","156,998","9,232","11,196","25,455","22,162","22,569","24,444","20,518","13,128","7,164","1,087","43","303,718","303,718","18,378","22,524","48,569","44,166","44,590","48,047","40,040","23,087","12,698","1,570","49","144,560","144,560","9,326","11,261","22,835","21,791","21,897","23,313","18,910","9,840","4,938","438","11","159,158","159,158","9,052","11,263","25,734","22,375","22,693","24,734","21,130","13,247","7,760","1,132","38"
"서울특별시 마포구 (1144000000)","367,105","367,105","28,984","31,434","57,411","66,863","63,587","51,517","34,575","22,871","8,773","1,055","35","175,112","175,112","14,778","15,930","26,810","32,162","31,253","25,051","15,731","9,862","3,248","281","6","191,993","191,993","14,206","15,504","30,601","34,701","32,334","26,466","18,844","13,009","5,525","774","29","367,248","367,248","27,671","30,729","58,864","66,154","62,319","52,214","35,499","23,324","9,308","1,129","37","174,440","174,440","14,065","15,525","27,298","31,562","30,559","25,425","16,205","9,983","3,502","310","6","192,808","192,808","13,606","15,204","31,566","34,592","31,760","26,789","19,294","13,341","5,806","819","31","366,365","366,365","26,506","29,524","60,051","64,925","61,231","52,501","36,682","23,518","10,097","1,291","39","173,202","173,202","13,455","14,945","27,489","30,816","29,763","25,691","16,879","9,980","3,819","359","6","193,163","193,163","13,051","14,579","32,562","34,109","31,468","26,810","19,803","13,538","6,278","932","33","364,419","364,419","24,858","28,189","61,264","63,792","59,864","52,691","38,183","23,444","10,662","1,428","44","171,624","171,624","12,621","14,280","27,624","30,176","29,085","25,788","17,702","9,869","4,072","400","7","192,795","192,795","12,237","13,909","33,640","33,616","30,779","26,903","20,481","13,575","6,590","1,028","37","364,020","364,020","23,625","27,545","60,908","63,074","58,970","53,711","40,222","23,032","11,334","1,553","46","171,124","171,124","12,083","13,888","27,246","29,809","28,589","26,275","18,764","9,665","4,367","426","12","192,896","192,896","11,542","13,657","33,662","33,265","30,381","27,436","21,458","13,367","6,967","1,127","34","361,419","361,419","21,707","27,338","59,832","62,586","57,658","54,222","40,919","23,156","12,303","1,651","47","169,510","169,510","11,114","13,818","26,508","29,549","27,946","26,413","19,168","9,769","4,742","473","10","191,909","191,909","10,593","13,520","33,324","33,037","29,712","27,809","21,751","13,387","7,561","1,178","37"
"서울특별시 양천구 (1147000000)","465,725","465,725","36,747","57,133","62,820","64,249","84,801","77,009","48,811","23,910","8,977","1,239","29","229,690","229,690","18,885","29,982","32,328","31,619","40,547","38,241","23,844","11,064","2,897","279","4","236,035","236,035","17,862","27,151","30,492","32,630","44,254","38,768","24,967","12,846","6,080","960","25","458,745","458,745","34,757","54,911","61,578","62,176","81,666","76,570","50,839","25,404","9,455","1,357","32","225,823","225,823","17,784","28,762","31,713","30,534","39,081","38,025","24,624","11,831","3,155","309","5","232,922","232,922","16,973","26,149","29,865","31,642","42,585","38,545","26,215","13,573","6,300","1,048","27","452,784","452,784","33,121","52,427","60,601","59,214","79,694","76,117","53,469","26,604","10,049","1,453","35","222,435","222,435","17,052","27,332","31,119","29,064","38,092","37,771","25,785","12,431","3,432","350","7","230,349","230,349","16,069","25,095","29,482","30,150","41,602","38,346","27,684","14,173","6,617","1,103","28","449,158","449,158","31,519","50,726","59,440","57,258","78,134","75,336","56,530","28,078","10,532","1,569","36","220,301","220,301","16,220","26,460","30,263","28,208","37,393","37,366","27,086","13,228","3,684","385","8","228,857","228,857","15,299","24,266","29,177","29,050","40,741","37,970","29,444","14,850","6,848","1,184","28","443,638","443,638","29,507","49,354","57,117","55,248","75,830","75,231","59,468","28,929","11,217","1,689","48","217,320","217,320","15,173","25,768","28,994","27,282","36,206","37,382","28,400","13,583","4,127","396","9","226,318","226,318","14,334","23,586","28,123","27,966","39,624","37,849","31,068","15,346","7,090","1,293","39","438,325","438,325","27,037","48,656","54,650","53,890","73,615","74,601","61,179","30,641","12,209","1,800","47","214,334","214,334","13,920","25,336","27,639","26,745","35,155","36,973","29,124","14,383","4,637","414","8","223,991","223,991","13,117","23,320","27,011","27,145","38,460","37,628","32,055","16,258","7,572","1,386","39"
"서울특별시 강서구 (1150000000)","594,683","594,683","49,172","51,552","87,318","107,345","95,151","90,533","66,583","33,225","11,990","1,768","46","289,441","289,441","25,065","26,404","41,986","54,545","47,647","42,794","31,259","15,411","3,912","411","7","305,242","305,242","24,107","25,148","45,332","52,800","47,504","47,739","35,324","17,814","8,078","1,357","39","589,934","589,934","46,645","49,311","86,795","105,983","92,936","89,453","69,042","35,136","12,662","1,929","42","286,567","286,567","23,836","25,180","41,397","53,860","46,586","42,371","32,209","16,402","4,280","438","8","303,367","303,367","22,809","24,131","45,398","52,123","46,350","47,082","36,833","18,734","8,382","1,491","34","584,804","584,804","43,936","47,273","86,957","102,273","91,959","87,404","72,315","36,900","13,611","2,129","47","283,139","283,139","22,459","24,143","40,988","51,802","46,126","41,461","33,687","17,288","4,687","488","10","301,665","301,665","21,477","23,130","45,969","50,471","45,833","45,943","38,628","19,612","8,924","1,641","37","573,472","573,472","39,531","44,547","86,554","98,340","89,673","84,661","75,065","38,247","14,465","2,338","51","276,812","276,812","20,206","22,785","40,094","49,907","44,910","40,470","34,834","17,898","5,179","514","15","296,660","296,660","19,325","21,762","46,460","48,433","44,763","44,191","40,231","20,349","9,286","1,824","36","569,756","569,756","36,609","43,381","85,318","97,268","88,348","83,280","78,455","39,107","15,458","2,464","68","273,968","273,968","18,596","22,219","39,055","49,022","44,328","40,059","36,186","18,303","5,630","554","16","295,788","295,788","18,013","21,162","46,263","48,246","44,020","43,221","42,269","20,804","9,828","1,910","52","566,040","566,040","33,592","42,960","82,478","97,209","87,467","82,322","79,306","41,187","16,912","2,538","69","271,574","271,574","17,068","21,926","37,527","48,794","43,821","39,719","36,565","19,180","6,391","569","14","294,466","294,466","16,524","21,034","44,951","48,415","43,646","42,603","42,741","22,007","10,521","1,969","55"
"서울특별시 구로구 (1153000000)","406,102","406,102","34,049","33,784","55,299","68,062","66,193","63,382","48,848","27,057","8,396","1,012","20","201,489","201,489","17,240","17,532","27,478","34,645","33,904","31,057","23,350","12,934","3,140","206","3","204,613","204,613","16,809","16,252","27,821","33,417","32,289","32,325","25,498","14,123","5,256","806","17","399,839","399,839","31,369","32,509","54,877","65,063","63,913","62,960","50,311","28,389","9,328","1,100","20","197,901","197,901","15,926","16,757","27,279","33,006","32,832","30,788","23,879","13,584","3,615","232","3","201,938","201,938","15,443","15,752","27,598","32,057","31,081","32,172","26,432","14,805","5,713","868","17","401,965","401,965","30,472","31,468","55,395","64,156","63,561","62,835","52,551","29,962","10,290","1,258","17","198,495","198,495","15,546","16,250","27,230","32,630","32,644","30,758","24,790","14,298","4,055","292","2","203,470","203,470","14,926","15,218","28,165","31,526","30,917","32,077","27,761","15,664","6,235","966","15","399,864","399,864","28,174","30,082","55,188","62,688","62,387","62,246","55,099","31,360","11,222","1,384","34","197,336","197,336","14,389","15,535","27,117","31,978","31,962","30,705","25,937","14,897","4,479","331","6","202,528","202,528","13,785","14,547","28,071","30,710","30,425","31,541","29,162","16,463","6,743","1,053","28","393,822","393,822","25,943","29,100","53,528","60,745","60,600","61,514","56,909","31,761","12,187","1,503","32","193,908","193,908","13,240","14,933","26,216","30,956","31,000","30,402","26,792","15,041","4,959","363","6","199,914","199,914","12,703","14,167","27,312","29,789","29,600","31,112","30,117","16,720","7,228","1,140","26","393,213","393,213","24,335","28,562","52,717","61,309","59,693","60,976","57,680","32,858","13,466","1,583","34","193,107","193,107","12,525","14,596","25,493","31,356","30,448","30,207","27,153","15,394","5,535","395","5","200,106","200,106","11,810","13,966","27,224","29,953","29,245","30,769","30,527","17,464","7,931","1,188","29"
"서울특별시 금천구 (1154500000)","231,082","231,082","15,432","18,192","34,590","36,213","36,455","40,973","28,216","15,653","4,787","556","15","117,206","117,206","7,934","9,308","17,932","19,720","18,906","20,483","13,786","7,290","1,732","113","2","113,876","113,876","7,498","8,884","16,658","16,493","17,549","20,490","14,430","8,363","3,055","443","13","229,823","229,823","14,637","16,841","35,390","35,845","34,604","40,932","29,327","16,389","5,192","649","17","116,647","116,647","7,475","8,580","18,422","19,669","17,946","20,467","14,345","7,654","1,954","132","3","113,176","113,176","7,162","8,261","16,968","16,176","16,658","20,465","14,982","8,735","3,238","517","14","228,716","228,716","13,717","15,736","36,029","35,279","33,427","40,246","30,827","17,013","5,737","685","20","115,957","115,957","7,031","8,027","18,527","19,473","17,377","20,097","15,091","7,941","2,247","142","4","112,759","112,759","6,686","7,709","17,502","15,806","16,050","20,149","15,736","9,072","3,490","543","16","227,968","227,968","12,526","14,609","36,944","35,146","32,245","39,348","32,441","17,622","6,276","785","26","115,231","115,231","6,407","7,357","18,630","19,473","16,901","19,649","15,904","8,242","2,474","189","5","112,737","112,737","6,119","7,252","18,314","15,673","15,344","19,699","16,537","9,380","3,802","596","21","228,631","228,631","11,659","13,900","37,060","36,338","31,235","38,697","34,160","17,828","6,881","848","25","115,271","115,271","6,008","7,033","18,266","20,110","16,430","19,367","16,736","8,359","2,745","211","6","113,360","113,360","5,651","6,867","18,794","16,228","14,805","19,330","17,424","9,469","4,136","637","19","228,116","228,116","10,689","13,505","36,318","37,268","30,397","37,731","35,240","18,317","7,748","873","30","114,858","114,858","5,486","6,823","17,769","20,500","16,132","18,904","17,294","8,562","3,139","241","8","113,258","113,258","5,203","6,682","18,549","16,768","14,265","18,827","17,946","9,755","4,609","632","22"
"서울특별시 영등포구 (1156000000)","361,035","361,035","27,328","27,494","53,961","64,838","57,350","55,563","40,828","23,937","8,651","1,064","21","179,989","179,989","14,004","14,520","26,300","33,343","29,493","27,814","19,835","11,107","3,307","263","3","181,046","181,046","13,324","12,974","27,661","31,495","27,857","27,749","20,993","12,830","5,344","801","18","360,227","360,227","26,248","25,987","55,171","65,540","55,325","55,017","41,663","24,837","9,266","1,150","23","179,274","179,274","13,371","13,736","26,580","33,807","28,471","27,654","20,183","11,562","3,617","289","4","180,953","180,953","12,877","12,251","28,591","31,733","26,854","27,363","21,480","13,275","5,649","861","19","360,215","360,215","25,413","24,741","56,308","65,325","54,311","54,389","43,021","25,332","10,089","1,259","27","178,595","178,595","12,894","13,036","26,766","33,685","27,855","27,363","20,897","11,758","4,015","323","3","181,620","181,620","12,519","11,705","29,542","31,640","26,456","27,026","22,124","13,574","6,074","936","24","372,301","372,301","25,810","24,162","58,758","68,636","55,364","55,333","45,554","26,388","10,880","1,385","31","184,069","184,069","13,155","12,600","27,605","35,284","28,459","28,000","22,104","12,138","4,357","363","4","188,232","188,232","12,655","11,562","31,153","33,352","26,905","27,333","23,450","14,250","6,523","1,022","27","372,586","372,586","24,738","23,529","58,428","68,959","54,725","55,148","47,359","26,479","11,733","1,448","40","183,635","183,635","12,663","12,254","27,059","35,198","28,175","28,057","22,917","12,142","4,766","396","8","188,951","188,951","12,075","11,275","31,369","33,761","26,550","27,091","24,442","14,337","6,967","1,052","32","372,665","372,665","23,535","23,491","57,480","69,326","54,572","54,731","47,925","27,158","12,837","1,575","35","183,030","183,030","12,041","12,157","26,265","35,168","28,096","27,788","23,306","12,485","5,265","451","8","189,635","189,635","11,494","11,334","31,215","34,158","26,476","26,943","24,619","14,673","7,572","1,124","27"
"서울특별시 동작구 (1159000000)","390,541","390,541","29,224","31,627","63,413","66,631","61,641","57,849","43,381","26,404","9,154","1,188","29","190,534","190,534","15,024","16,301","31,622","33,499","30,857","27,386","20,073","12,101","3,384","283","4","200,007","200,007","14,200","15,326","31,791","33,132","30,784","30,463","23,308","14,303","5,770","905","25","390,502","390,502","27,862","30,359","64,975","65,441","60,330","58,015","44,803","27,528","9,830","1,329","30","189,831","189,831","14,175","15,655","32,037","32,973","30,197","27,601","20,640","12,489","3,723","332","9","200,671","200,671","13,687","14,704","32,938","32,468","30,133","30,414","24,163","15,039","6,107","997","21","390,198","390,198","26,571","29,348","66,038","63,665","59,516","58,004","46,370","28,395","10,770","1,483","38","189,273","189,273","13,536","15,055","32,242","32,191","29,852","27,680","21,378","12,795","4,144","388","12","200,925","200,925","13,035","14,293","33,796","31,474","29,664","30,324","24,992","15,600","6,626","1,095","26","385,519","385,519","24,539","27,727","66,227","61,637","58,030","57,077","48,034","29,040","11,560","1,602","46","186,499","186,499","12,521","14,263","31,976","31,185","29,077","27,328","22,109","13,037","4,589","402","12","199,020","199,020","12,018","13,464","34,251","30,452","28,953","29,749","25,925","16,003","6,971","1,200","34","381,596","381,596","22,969","26,895","64,648","60,485","56,536","57,104","49,698","29,148","12,398","1,665","50","184,538","184,538","11,747","13,787","31,199","30,570","28,337","27,546","22,923","12,922","5,057","437","13","197,058","197,058","11,222","13,108","33,449","29,915","28,199","29,558","26,775","16,226","7,341","1,228","37","377,880","377,880","21,329","26,609","64,026","59,586","55,251","56,440","49,720","29,675","13,472","1,726","46","182,682","182,682","10,892","13,658","30,794","30,192","27,691","27,320","22,988","13,045","5,629","462","11","195,198","195,198","10,437","12,951","33,232","29,394","27,560","29,120","26,732","16,630","7,843","1,264","35"
